Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 18.63      0.30     0.30 48942864     0.00     0.00  void dlib::blas_bindings::matrix_assign_blas_helper<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_multiply_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_remove_row2<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >, dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<double, dlib::std_allocator<double, dlib::memory_manager_stateless_kernel_1<char> > > > > >, void>::assign<dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_remove_row2<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >, dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<double, dlib::std_allocator<double, dlib::memory_manager_stateless_kernel_1<char> > > > > >(dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix_multiply_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_remove_row2<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >, dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<double, dlib::std_allocator<double, dlib::memory_manager_stateless_kernel_1<char> > > > > > const&, double, bool, bool)
 16.77      0.57     0.27 34684527     0.00     0.00  void dlib::blas_bindings::matrix_assign_blas_helper<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >, void>::assign<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >(dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > const&, double, bool, bool)
 11.80      0.76     0.19 34638402     0.00     0.00  dlib::kcentroid<dlib::radial_basis_kernel<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::train_and_maybe_test(dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, double, double, bool)
  5.59      0.85     0.09  8205740     0.00     0.00  void dlib::blas_bindings::matrix_assign_blas_helper<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_remove_row2<dlib::matrix_mul_scal_exp<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, true> > >, dlib::matrix_op<dlib::op_remove_col2<dlib::matrix_op<dlib::op_rowm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > >, void>::assign<dlib::matrix_op<dlib::op_remove_row2<dlib::matrix_mul_scal_exp<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, true> > >, dlib::matrix_op<dlib::op_remove_col2<dlib::matrix_op<dlib::op_rowm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > >(dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_remove_row2<dlib::matrix_mul_scal_exp<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, true> > >, dlib::matrix_op<dlib::op_remove_col2<dlib::matrix_op<dlib::op_rowm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > > const&, double, bool, bool)
  3.73      0.91     0.06  8117148     0.00     0.00  dlib::std_allocator<double, dlib::memory_manager_stateless_kernel_1<char> >::construct(double*)
  3.73      0.97     0.06   452402     0.00     0.00  dlib::disable_if<dlib::ma::has_column_major_layout<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, void>, void>::type dlib::matrix_assign_default<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::type, bool)
  3.73      1.03     0.06   399854     0.00     0.00  void dlib::blas_bindings::matrix_assign_blas_helper<dlib::assignable_sub_matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >, void>::assign<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >(dlib::assignable_sub_matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix_multiply_exp<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_op<dlib::op_trans<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > const&, double, bool, bool)
  3.11      1.08     0.05  2781299     0.00     0.00  void dlib::kkmeans<dlib::radial_basis_kernel<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::do_train<dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > >, dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > >(dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > const&, dlib::matrix_op<dlib::op_std_vect_to_mat<std::vector<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<double, 4l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > > const&, long)
  2.48      1.12     0.04  8199024     0.00     0.00  dlib::disable_if_c<std::numeric_limits<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::type>::is_integer, dlib::matrix_mul_scal_exp<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, true> >::type const dlib::operator/<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, double>(dlib::matrix_exp<dlib::matrix_op<dlib::op_colm<dlib::matrix<double, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > const&, double const&)
  2.48      1.16     0.04       32     1.25     2.65  dlib::op_remove_row2<dlib::matrix<double, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::apply(long, long) const
